University,latitude,longitude,Foundedin,incomegroup,Number of Student
Ean University,4.6555538,-74.0580349,1968.0,Upper middle income,25016
Earlham College,39.823941,-84.913241,1847.0,High income,18371
East Africa University,11.2410127,49.2035784,1992.0,Low income,10560
"East China Institute Of Technology, Yangtze River College",25.71037,119.33443,2002.0,Upper middle income,19340
East China Jiaotong University,31.0252201,121.4337784,1971.0,Upper middle income,131609
East China Normal University,31.227667,121.406829,1951.0,Upper middle income,181994
East China University Of Political Science And Law,31.224239,121.41823,1952.0,Upper middle income,56658
East China University Of Science And Technology,31.140897,121.425248,1952.0,Upper middle income,110165
East China University Of Technology,27.9883684,116.3546144,1956.0,Upper middle income,96861
East Coast College,7.7649102,126.3710022,1999.0,Lower middle income,25898
East European State Higher School In Przemy��L,49.7739319,22.789022,2001.0,High income,13134
East European University Of Economics And Management,49.405423,32.0539015,1992.0,Lower middle income,16141
East Nile College,15.6202413,32.5242202,1991.0,Low income,12137
East Pacific Computer College,12.4197998,124.6409988,1995.0,Lower middle income,28737
East Siberian Institute Of The Russian Federation Ministry Of Internal Affairs,52.2575377,104.2617274,1993.0,Upper middle income,29445
East Siberian State Institute Of Culture,51.808243,107.602788,1960.0,Upper middle income,42025
East Siberian State University Of Technology,51.8212199,107.644257,1962.0,Upper middle income,91592
East West University,23.768384,90.4255665,1996.0,Lower middle income,28266
East Yangon University,16.7367098,96.2859895,2000.0,Lower middle income,55093
East-West University,41.8712921,-87.6254577,1978.0,High income,6927
Easter College,16.4235296,120.5869695,1906.0,Lower middle income,43452
Eastern Asia University,14.001544,100.719213,1996.0,Upper middle income,16364
Eastern Call College.,12.5094387,124.6648214,2003.0,Lower middle income,22439
Eastern Connecticut State University,41.7214436,-72.2177527,1889.0,High income,56154
Eastern Humanities Academy For Economics And Law,38.9240417,-77.0744142,1993.0,Upper middle income,14259
Eastern Illinois University,39.4780295,-88.175905,1895.0,High income,146067
Eastern Institute,55.831,37.6297999,1994.0,Upper middle income,14250
Eastern Institute For Integrated Learning In Management,22.5658697,88.3507605,2006.0,Lower middle income,5086
Eastern Institute Of Technology,-39.546731,176.8374858,1975.0,High income,73354
Eastern International University,11.0530121,106.6661689,2010.0,Lower middle income,16801
Eastern Kentucky University,37.7353214,-84.298672,1906.0,High income,201089
Eastern Laguna Colleges,14.3582349,121.4844014,1947.0,Lower middle income,40984
Eastern Liaoning University,40.176685,124.3641769,1912.0,Upper middle income,52006
Eastern Luzon Colleges,16.3742711,121.1043763,2004.0,Lower middle income,22440
Eastern Mediterranean University,35.1423793,33.9116479,1979.0,Upper middle income,82784
Eastern Mindanao College Of Technology,7.8300263,123.4336666,2006.0,Lower middle income,20135
Eastern Mindoro College,12.749915,121.4843,1945.0,Lower middle income,41099
Eastern Mindoro Institute Of Technology And Sciences,13.0360581,121.4896718,1945.0,Lower middle income,47563
Eastern Nazarene College,42.2712766,-71.0104487,1918.0,High income,15756
Eastern Quezon College,13.9229978,122.0973784,1947.0,Lower middle income,40984
Eastern Samar State University,11.6603535,125.4423667,1960.0,Lower middle income,27021
Eastern Siberian Institute Of Economics And Law,56.004056,92.765776,1997.0,Upper middle income,12736
Eastern University,40.0511981,-75.37128,2003.0,Lower middle income,6321
Eastern University Centre Of Mexico,19.3926686,-99.0739043,2002.0,Upper middle income,9346
"Eastern University, Sri Lanka",7.7944366,81.5790171,1981.0,Lower middle income,12452
Eastern Visayas Central Colleges,12.502637,124.6274535,2000.0,Lower middle income,25892
Eastern Visayas State University,11.2401554,124.9973648,1907.0,Lower middle income,39567
Eastwoods Professional College Of Science And Technology,14.6794667,120.5368584,1999.0,Lower middle income,25898
Eatri Professional Institute,-33.4391444,-70.6276482,1970.0,High income,33890
Ebenezer International Colleges,14.2787884,120.9135735,2004.0,Lower middle income,22440
Ebonyi State University,6.3859518,8.0114112,1999.0,Lower middle income,78778
Ebs Paris - European Business School,48.837993,2.2912946,1967.0,High income,8612
Ebs University Of Business And Law,50.0124178,8.0504806,1971.0,High income,10226
Ecam Lyon,45.7627288,4.8252075,1900.0,High income,8524
Ecampus University.,45.6985407,9.1213137,2006.0,High income,23356
Ecci University,4.6379012,-74.0713175,1977.0,Upper middle income,23199
Eckerd College,27.7147304,-82.6864622,1958.0,High income,21660
Ecological University Of Bucharest,44.4401482,26.0589913,1990.0,High income,10211
Ecotec Technological University,-2.0946104,-79.8799074,2007.0,Upper middle income,11625
Ecs - European Communication School,48.856336,2.278142,1980.0,High income,7855
Ecumenical Christian College,15.4868345,120.6076533,1963.0,Lower middle income,39563
Ecusta Higher Learning Institute,8.9280445,38.716895,2006.0,Low income,10381
Edc Paris Business School,48.884958,2.2446716,1950.0,High income,7355
Edenton Mission College,6.055878,124.506884,1947.0,Lower middle income,40984
Edgar Mor��N Real World Multiversity,29.1165932,-110.9502638,2006.0,Upper middle income,8098
Edge Hill University,53.5588278,-2.8703472,1885.0,High income,336632
Edhec Business School,50.6733777,3.165966,1906.0,High income,48708
Edhec Group-Abidjan,5.3481492,-3.9981681,2004.0,Lower middle income,8800
Edinburgh Napier University,55.9260691,-3.2894064,1964.0,High income,120016
Edison State College,26.5516108,-81.8892892,1961.0,High income,129212
Edith Cowan University,-31.7524902,115.7727799,1991.0,High income,133658
Ednor Colleges,15.7014851,120.3826765,1986.0,Lower middle income,31449
Edogawa University,35.8762328,139.9391377,1990.0,High income,11909
Eduardo Mart��Nez Torner Music Conservatoire,43.362053,-5.842151,1883.0,High income,43026
Eduardo Mondlane University,-25.9521498,32.6035601,1962.0,Low income,114818
Education And Cultural Development Of Monterrey,25.7267157,-100.3528254,1996.0,Upper middle income,10521
Educational Atheneum Of Integral Training,20.5412678,-100.8218511,1999.0,Upper middle income,10517
Educational Foundation Of Beyond Para��Ba,-7.1325207,-34.8814011,1973.0,Upper middle income,34454
Educational Institute Of The Basin Of The Papaloapan River,18.0906664,-96.1001157,2003.0,Upper middle income,28981
Educational Systems Technological Institute,13.4483011,121.8361121,1990.0,Lower middle income,36400
Educational Union Of Brasilia,-15.8091297,-47.9015823,1981.0,Upper middle income,31642
Educons University,45.2275434,19.8514187,2008.0,Upper middle income,8954
Eduvale Faculty Of Avar��,-23.0936737,-48.9320487,1999.0,Upper middle income,25071
Eelo University,9.935609,43.1828253,2007.0,Low income,7498
Efap,48.8698325,2.3035613,1961.0,High income,13795
Efrei Paris,48.7887186,2.3637474,1936.0,High income,11492
Eftimie Murgu University Of Resita,45.2926742,21.8847733,1971.0,High income,19103
Egas Moniz Institute Of Health Sciences,38.6669871,-9.200232,1987.0,High income,8592
Egerton University,-1.26203,36.7987527,1939.0,Lower middle income,84458
Egypt-Japan University For Science And Technology,30.8667918,29.5824162,2010.0,Lower middle income,103733
Egyptian Russian University,30.1421144,31.7185571,2006.0,Lower middle income,21383
Ehesp School Of Public Health,48.1171286,-1.7036962,1945.0,High income,23734
Ehess - School Of Advanced Studies In Social Sciences,48.850174,2.3268487,1947.0,High income,38665
Ehime Prefectural University Of Health Sciences,33.780848,132.798219,2005.0,High income,8446
Ehime University,33.8528125,132.7744302,1949.0,High income,100433
Eigsi La Rochelle,46.1397264,-1.1544972,1901.0,High income,30171
Eindhoven University Of Technology,51.4486098,5.4907148,1956.0,High income,74293
Einstein Integrated Faculties Of Limeira,-22.5538608,-47.3973809,1980.0,Upper middle income,33136
Eka University Of Applied Sciences,56.938179,24.1578369,1998.0,High income,5160
Ekasakti University,-0.9396669,100.3560977,1973.0,Upper middle income,42179
"Ekiti State University, Ado-Ekiti",7.7140666,5.2600721,2011.0,Lower middle income,45838
El Hadj Bemba Toure University,10.3736231,-9.2974281,2007.0,Low income,9053
El Shorouk Academy,30.1196315,31.6066008,1995.0,Lower middle income,22616
El-Imam El-Mahdi University,13.3109678,32.6120247,1994.0,Low income,90596
Elbl��G University Of Humanities And Economy,54.1470827,19.4216109,2001.0,High income,10123
Elected University,37.590799,127.0277773,1946.0,High income,42472
Electric Power University,21.0463986,105.7849162,2006.0,Lower middle income,20834
Electronic Engineering Polytechnic Institute Of Surabaya,-7.2758471,112.7937557,1988.0,Upper middle income,7560
Eleia Centre Of Psychological Activities,19.3519899,-99.1863932,1990.0,Upper middle income,13079
Elisabeth University Of Music,34.3955892,132.4678165,1948.0,High income,7307
Elizabeth Seton Centre For Advanced Studies,28.6329497,-106.1293483,1998.0,Upper middle income,10517
Elizade University,7.3671325,5.1066997,2012.0,Lower middle income,5968
Elmhurst College,41.8969889,-87.9471365,1871.0,High income,46168
Elnasr Technical College,15.6653583,32.5009774,1956.0,Low income,16322
Eloisa Pastern Pattern Institute,20.9942848,-89.6115498,1929.0,Upper middle income,17105
Eloy Alfaro Lay University Of Manab��,-0.9533683,-80.7456925,1985.0,Upper middle income,57940
Elrazi University,15.5122918,32.5926965,2001.0,Low income,9561
Elsheikh Abdallah Elbadri University,18.0567377,33.9938235,2011.0,Low income,7259
Emanuel University Of Oradea,47.0260491,21.9557335,1989.0,High income,175461
Embry-Riddle Aeronautical University,29.1899469,-81.047017,1926.0,High income,110576
Emerson College,42.3522266,-71.0658133,1880.0,High income,39729
Emiliano Zapata Technological University Of The State Of Morelos,18.8502834,-99.2007355,2000.0,Upper middle income,25729
Emilio C��Rdenas University,19.4746508,-99.2140301,1974.0,Upper middle income,92781
Emily Carr University Of Art And Design,49.2675921,-123.0924294,1925.0,High income,16809
Emir Abdelkader University Of Islamic Sciences,36.3490994,6.6040823,1984.0,Lower middle income,19530
Emirates College Of Science And Technology,15.5514019,32.590471,2000.0,Low income,10977
Emlyon Business School,45.7864448,4.7641329,1872.0,High income,30709
Emmanuel College,43.6666261,-79.3927645,1919.0,High income,20833
Emmanuel College,6.1099364,125.1704724,1962.0,Lower middle income,41546
Emmanuel Edity Center,19.3751265,-99.1395911,1996.0,Upper middle income,10662
Emory University,33.7971368,-84.32224,1836.0,High income,100706
Emperor Ganga Singh University,28.0311341,73.2593482,2003.0,Lower middle income,653200
Emperor University,34.0302723,-118.4853093,1977.0,High income,110750
Emporia State University,38.4162018,-96.1792715,1863.0,High income,89620
Emuna Efrata - Academic College Of Education For Art And Education,31.7556089,35.2189797,1924.0,High income,12088
Endicott College,42.5535151,-70.8436261,1939.0,High income,21993
Engin,48.8758452,2.3161032,1937.0,High income,7236
Engineering And Industrial Development Centre,20.6235948,-100.4057687,1984.0,Upper middle income,32328
Engineering Exchange,43.4715962,-80.5430655,2010.0,Upper middle income,38212
Enrique D��Az De Le��N University,20.67161,-103.3596783,1969.0,Upper middle income,15774
Enrique Guzm��N And Valle National University Of Education,-11.9475748,-76.7011822,1905.0,Upper middle income,88460
Enrique Jos�� Varona Pedagogical University,23.0887576,-82.4308352,1977.0,Upper middle income,21645
Enrique Rebsamen Institute,20.6738481,-103.3501582,1998.0,Upper middle income,30066
Ens Of Lyon,45.7315398,4.8303041,1987.0,High income,8903
Ensa Bourges,47.0857612,2.3950934,1881.0,High income,18402
Ensa-Marseille,43.2295385,5.4344372,1752.0,High income,5674
Ensaama School Of Art & Design,48.8334798,2.2951489,1922.0,High income,10732
Ensci - The Workshops,48.8584136,2.3692752,1982.0,High income,521650
Enseya.,49.0392814,2.0722879,1952.0,High income,8423
Ensicaen - National Graduate School Of Engineering Of Caen,49.214099,-0.367627,1976.0,High income,9533
Ensta - Bretagne,48.41908,-4.4720707,1971.0,High income,5212
Entpe,45.7786083,4.9223494,1953.0,High income,7128
Entrepreneurs School Of Asia,14.6053247,121.0845998,2000.0,Lower middle income,30073
Enugu State University Of Science And Technology,6.3997812,7.5246949,1980.0,Lower middle income,145879
Epf School Of Engineering,48.7889071,2.3272555,1925.0,High income,11844
Epita,48.8156654,2.3628171,1984.0,High income,5328
Eqrem ��Abej University Of Gjirokstra,40.0824861,20.1370951,1971.0,Upper middle income,13129
Equinox University Of Technology,-0.1840505,-78.4931871,1986.0,Upper middle income,44315
Equipe Institute Of Education,43.6653648,-79.4855976,2002.0,Upper middle income,14073
Erasmus Brussels University Of Applied Sciences And Arts,50.842239,4.322808,1995.0,High income,5369
Erasmus University Rotterdam,51.9172477,4.5263027,1973.0,High income,27889
Erasmus University Rotterdam - Institute For Housing And Urban Development Studies,51.9158827,4.5261912,1958.0,High income,198114
Erbil Polytechnic University,36.1428908,44.0370014,1996.0,Upper middle income,26707
Erciyes University,38.7101765,35.5337993,1978.0,Upper middle income,204782
Erfurt University Of Applied Sciences,50.9847913,11.0414951,1991.0,High income,18313
Erhard Systems Technological Institute,12.4025801,121.9803791,1990.0,Lower middle income,36400
Eritrea Institute Of Technology,15.2428633,38.7748069,2004.0,Low income,5590
Ernst-Abbe University Of Applied Sciences Jena,50.91829,11.56868,1991.0,High income,25642
Ershad Damavand Institute Of Higher Education,35.7022775,51.4007549,1997.0,Upper middle income,12199
Ersta Sk��Ndal Br��Cke University College,59.3167039,18.0860874,1998.0,High income,9103
Erzincan Binali Yildirim University,39.8038299,39.3787668,2006.0,Upper middle income,55347
Erzurum Technical University,39.9180297,41.2410736,2010.0,Upper middle income,38212
"Esa - Graduate School Of Food, Agronomy And Agribusiness",47.4585944,-0.5439003,1898.0,High income,15482
Esa Unggul University,-6.1858817,106.7789114,1993.0,Upper middle income,47354
Esac Cambrai,50.1885013,3.2433235,1780.0,High income,21344
Esad-College Of Art And Design,41.1850136,-8.6624073,1989.0,High income,7971
Esc Clermont Business School,45.7782327,3.0908529,1919.0,High income,8637
Esc Pau Business School,43.3178634,-0.3655903,1969.0,High income,7282
Esca School Of Commerce And Business,33.592672,-7.627542,1992.0,Lower middle income,5494
Escem Business School,47.3655107,0.705057,1961.0,High income,15286
Escp Business School,48.8643389,2.3809686,1819.0,High income,45309
Esfarayen Higher Education Complex Of Engineering And Technology,37.0448924,57.5006386,2013.0,Upper middle income,6561
Esff - Graduate School Of Foundry And Forge,48.8229484,2.2247254,1924.0,High income,6945
Esg Morocco,33.5928572,-7.6045508,1985.0,Lower middle income,8410
Esic Business And Marketing School,-25.4832726,-49.2564632,2001.0,Upper middle income,14070
Esic University,41.3961593,2.1459184,1965.0,High income,23998
Esiee-Amiens,49.8995592,2.2919749,1904.0,High income,5525
Esj Lild,50.6288069,3.063992,1924.0,High income,7339
Esj Paris,48.8264341,2.3641533,1899.0,High income,7665
Eski��Ehir Osmangazi University,39.7516856,30.4900218,1970.0,Upper middle income,90970
Esm Saint-Cyr,47.94579,-2.1498977,1802.0,High income,20691
Esme Sudria Engineering School,48.8140771,2.3929998,1905.0,High income,15733
Esperanza - School Of Entrepreneurship And Prosperity,6.3568437,2.4403159,2011.0,Lower middle income,8415
Esperan��A Institute Of Higher Education,-2.434501,-54.728687,1999.0,Upper middle income,16347
Espi Group,48.8989404,2.2934335,1972.0,High income,6140
Essay,47.4931212,-0.5509545,1956.0,High income,9471
Essca School Of Management,47.476929,-0.600072,1909.0,High income,19519
Essect Poincarre,5.3744121,-3.9885665,1988.0,Lower middle income,12449
"Essentuki Institute Of Management, Business And Law",43.7824893,-79.1887005,1994.0,Upper middle income,14250
Esslingen University Of Applied Sciences,48.737813,9.3110953,1971.0,High income,36704
Estacio Faculty Of Macap��,0.046713,-51.0609725,2000.0,Upper middle income,25066
Estacio Faculty Of S��O Lu��S,-2.5198891,-44.2699271,2001.0,Upper middle income,22113
Estacio Faculty Of The Rio Grande Do Sul,-32.0339961,-52.0981772,1994.0,Upper middle income,27597
Estela College.,7.561779,125.653,2001.0,Lower middle income,22441
Estienne School,48.8308041,2.352542,1889.0,High income,18176
Estonian Academy Of Arts,59.4423345,24.7409043,1914.0,High income,8182
Estonian Academy Of Music And Theatre,59.431554,24.7476587,1919.0,High income,6468
Estonian Aviation Academy,58.3107509,26.6935209,1993.0,High income,9409
Estonian Business School,59.4321191,24.7567626,1988.0,High income,6100
Estonian Entrepreneurship University Of Applied Sciences,59.4227034,24.800068,1992.0,High income,11269
Estonian University Of Life Sciences,58.3884611,26.6968501,1951.0,High income,47032
Estoril Higher Institute For Tourism And Hotel Studies,38.7169371,-9.3919398,1991.0,High income,15187
Estp - Paris,48.8407791,2.5873259,1891.0,High income,31831
Est��Cio De S�� University,-22.901794,-43.181944,1970.0,Upper middle income,977606
Esucomex Professional Institute,-33.4485916,-70.6614123,1989.0,High income,30585
Esuda Faculty Of Human Sciences,-8.05419,-34.8850203,1974.0,Upper middle income,34418
Esumer University Institution,6.277697,-75.590742,1970.0,Upper middle income,24878
Esun Business School,19.147214,-96.105868,2002.0,Upper middle income,27822
Eszterh��Zy K��Roly University,47.9000682,20.3754792,1774.0,High income,43074
Etac University,19.5195685,-99.2220389,1966.0,Upper middle income,15834
Etep Group,5.3272338,-4.0260957,2009.0,Lower middle income,7603
Ethiopia Adventist College,7.2953028,38.654752,1964.0,Low income,24730
Ethiopian Civil Service University,9.0231491,38.8323066,1995.0,Low income,41510
Etugen University,47.9217522,106.9271986,2001.0,Lower middle income,12917
Euclid,13.406583,-16.7271436,2008.0,Low income,15046
Euclid Da Cunci��N College Of Education Of The State Of Acre - Inec,-9.9565564,-67.8649033,2006.0,Upper middle income,13372
Euclid Faculty Of Cunha,-21.6015938,-46.8933641,1964.0,Upper middle income,58262
Eugene Gomes Faculty,43.6609086,-79.3959518,2004.0,Upper middle income,22113
Eugenio Mar��A De Hostos University,18.4561799,-69.9254938,1980.0,Upper middle income,29825
Eugeniusz Geppert Academy Of Art And Design In Wroclaw,51.1067157,17.0440691,1791.0,High income,34844
Eulji University,36.3329549,127.4055284,1996.0,High income,23104
Eulogio Aman Rodriguez Institute Of Science And Technology,14.5999205,121.0000592,1940.0,Lower middle income,70308
Eulogio R. Dizon College Of New Ecija,15.6593814,120.7763175,1927.0,Lower middle income,42167
Eurasia International University,40.2081474,44.5314851,1996.0,Upper middle income,5650
Eurasia Technological University,43.2537231,76.923067,1948.0,Upper middle income,22079
Eurasian Humanities Institute,51.1555173,71.4792436,1995.0,Upper middle income,11693
Eurasian Law Academy Named After D. A. Kunaev,43.243764,76.9282,1993.0,Upper middle income,11701
Euripides University Centre Of Marilia,-22.2336243,-49.9651801,1974.0,Upper middle income,34418
Euro-American University,18.4817811,-97.400327,1991.0,Upper middle income,11705
Euro-American University Centre,38.9379851,-77.0888687,1998.0,Upper middle income,25076
Euro-Formation,5.2903023,-3.9776506,2002.0,Lower middle income,9238
Euroacademy,59.4048616,24.7184198,1997.0,High income,5319
Europa-Universit��T Flensburg,54.7766669,9.4582135,1946.0,High income,10627
European Humanities University,54.6793451,25.2906286,1992.0,High income,15918
"European Institute Of Design, Madrid",40.421664,-3.707319,1994.0,High income,12005
European School Of Law And Administration In Warsaw,52.240735,21.019109,1997.0,High income,11862
European School Of Visual Arts,45.6537437,0.1500224,1995.0,High income,7727
European University,19.3329219,-99.0752105,1994.0,Upper middle income,11692
European University,38.7601444,-9.1936293,1962.0,High income,13726
European University,40.202894,44.529795,2001.0,Upper middle income,8235
European University,44.8184518,20.4575913,1984.0,Upper middle income,20414
European University,50.461289,30.37828,1991.0,Lower middle income,16149
European University Cyprus,35.1594543,33.3388061,1961.0,High income,21476
European University In Radom,51.4060669,21.1715322,2007.0,High income,7920
European University In Tirana,41.3420364,19.8451916,2006.0,Upper middle income,54100
European University Of Applied Sciences,50.8340954,6.9054873,2001.0,High income,6376
European University Of Applied Sciences In Hamburg,53.5511666,9.9346218,2003.0,High income,24103
European University Of Bangladesh,23.7840857,90.3452895,2012.0,Lower middle income,17069
European University Of Information Technology And Economics In Warsaw,52.3067689,20.9838909,2005.0,High income,10114
European University Of Lefke,35.1300189,32.8304816,1989.0,Upper middle income,13701
European University Of Madrid,40.3730607,-3.9190828,1995.0,High income,17433
European University Of Rome,41.8791402,12.3948479,2004.0,High income,6281
European University Of The Canary Islands,28.3905412,-16.5244266,2010.0,High income,10094
European University Of Valencia,39.4754415,-0.3652689,2012.0,High income,6985
European University Viadrina Frankfurt (Oder),52.3422565,14.5538171,1991.0,High income,30626
Europort Business School,51.9233342,4.4643981,2005.0,High income,7057
Evangelical Faculty Of Goian��Sia,-15.3265309,-49.1350011,2003.0,Upper middle income,22113
Evangelical Faculty Of Piau��,43.8526067,-78.9232101,2000.0,Upper middle income,25066
Evangelical Faculty Of Salvador,-12.9958624,-38.4683795,2001.0,Upper middle income,17018
"Evangelical Faculty Of Technology, Science And Biotechnology",-22.8486203,-43.306973,2005.0,Upper middle income,22114
Evangelical Faculty Of The Mid-North Region,-4.1315989,-44.1205414,2002.0,Upper middle income,17018
Evangelical University Of El Salvador,13.7148963,-89.2390811,1981.0,Lower middle income,19498
Evangelical University Of Paraguay,-25.2865191,-57.609855,1994.0,Upper middle income,5953
Evangelical University Of The Americas,9.9276836,-84.0796672,1992.0,Upper middle income,9014
Everest University - Largo,27.9152737,-82.7758933,1890.0,High income,15478
Everest University - Orlando North,28.611097,-81.3874738,1918.0,High income,16542
Everest University - Pompano Beach,26.2338833,-80.1032436,1890.0,High income,20459
Everest University - Tampa,27.9968542,-82.4975684,1890.0,High income,17525
Everglades University,26.3917512,-80.106239,1990.0,High income,6053
Ewha Women'S University,37.5618588,126.9468339,1886.0,High income,199566
Excelia Group,46.14082,-1.1559418,1988.0,High income,15681
Excessive College,43.7840347,-79.2331848,1950.0,Lower middle income,40809
Expensive And Crow Institute,4.5959334,-74.0737375,1942.0,Upper middle income,44000
Experimental Liberator University Of Education - Antonio Lira Alcal�� Pedagogical Institute Of Matur��N,9.7298781,-63.1535082,1971.0,Upper middle income,48117
Experimental Liberator University Of Education - Jos�� Manuel Siso Mart��Nez Pedagogical Institute Of Miranda,10.493097,-66.804426,1976.0,Upper middle income,47039
Experimental Liberator University Of Education - Luis Beltr��N Prieto Figueroa Pedagogical Institute Of Barquisimeto,10.054143,-69.3554263,1959.0,Upper middle income,73590
Experimental Liberator University Of Education - Rafael Alberto Escobar Lara Pedagogical Institute,10.2733979,-67.5786766,1971.0,Upper middle income,48117
Experimental Liberator University Of Education - The Rural Malus Pedagogical Institute,10.0508443,-69.3579124,1938.0,Upper middle income,40908
Experimental Teacher Training School Of Acatlan,18.2183809,-98.0429484,1975.0,Upper middle income,38033
Externado University Of Colombia,4.5953562,-74.0685881,1886.0,Upper middle income,77892
Ezequiel Zamora National Experimental University Of The Western Plains,8.6154937,-70.2415502,1975.0,Upper middle income,66372
Ezzitouna University,36.7936526,10.1643495,1995.0,Lower middle income,7216
E��Tv��S J��Zsef College,46.1839749,18.9547818,1870.0,High income,16422
E��Tv��S Lor��Nd University (Eotvos Lorand University),47.4905698,19.0585445,1635.0,High income,198686
Fabiola Salazar Legu��A Intercultural National University Of Bagua,-5.6318121,-78.5351621,2010.0,Upper middle income,17248
Fabra Higher Education Center,43.6609086,-79.3959518,2001.0,Upper middle income,22113
Faco Paris,48.8409385,2.3343858,1967.0,High income,6530
Faculties Of Dracena,-21.486516,-51.53112,1997.0,Upper middle income,25082
Faculties Of Pedro Leopoldo,-19.6364403,-44.0036208,1994.0,Upper middle income,27597
Faculties Of The Educational Foundation Of Mococa,-22.3150865,-47.381643,1972.0,Upper middle income,55853
Faculties Of The Valley Of Carangola,-20.7384577,-42.0233905,1970.0,Upper middle income,35396
Facultty Of Science And Technology Of Goiana,-7.5604923,-34.9952888,1972.0,Upper middle income,55853
Faculty Center Of The State Of S��O Paulo,43.6637827,-79.3949475,2012.0,Upper middle income,13846
Faculty Centre Of Mato Grosso,43.6600646,-79.3942985,2005.0,Upper middle income,22114
Faculty Coat,43.7840347,-79.2331848,1998.0,Upper middle income,25076
Faculty Esp��Rito Santo,-20.2953906,-40.3009041,2002.0,Upper middle income,22113
Faculty For Business Management,42.0967489,19.0938125,2005.0,Upper middle income,5034
Faculty For Public Administration And European Studies,42.4452905,19.2636185,2005.0,Upper middle income,5034
Faculty For The Development Of The South East Of The State Of Tocantins,-11.6233169,-46.8189814,2005.0,Upper middle income,22114
Faculty Frassinets Of Recife,-8.0587308,-34.8892273,1941.0,Upper middle income,37645
Faculty Miner Triangle,-19.7547537,-47.9311877,1970.0,Upper middle income,35396
Faculty Of Accountancy And Administration Of Itapemirim Waterfall,-20.7998174,-41.1576741,1970.0,Upper middle income,35396
Faculty Of Accountancy And Administration Of The Juruena Valley,-13.632164,-57.9103813,2005.0,Upper middle income,22114
Faculty Of Accountancy Of Afonso Claudio,-20.0748106,-41.1268648,2000.0,Upper middle income,25066
Faculty Of Accountancy Of Ponte Nova,-20.3971088,-42.8765048,1978.0,Upper middle income,33198
Faculty Of Accountancy Of Recife,-8.0517328,-34.9507155,1992.0,Upper middle income,27619
Faculty Of Accounting And Administrative Sciences Of Camaqua,-16.6029333,-49.2651119,1973.0,Upper middle income,34454
Faculty Of Administration And Accountancy Of S��O Roque,-23.5316755,-47.1358959,1995.0,Upper middle income,27586
Faculty Of Administration And Technology,-23.6956191,-46.5469041,1989.0,Upper middle income,37190
Faculty Of Administration Of Alagoana - Higher Education Institute Of Alagoas,-9.647531,-35.7058266,1994.0,Upper middle income,18326
Faculty Of Administration Of Beautiful Field,43.7840347,-79.2331848,2001.0,Upper middle income,22113
Faculty Of Administration Of Chapad��O Do Sul,-18.7999448,-52.6212679,2002.0,Upper middle income,17018
Faculty Of Administration Of Mariana,-20.3805941,-43.4188126,2004.0,Upper middle income,22113
Faculty Of Administration Of Santa Cruz Do Rio Pardo,-22.9045435,-49.629026,2000.0,Upper middle income,19971
Faculty Of Administration Of The City Of Governador Valadares,-18.8586332,-41.9452081,1975.0,Upper middle income,34381
"Faculty Of Administration, Science, Education And Letters",43.7840347,-79.2331848,1999.0,Upper middle income,25071
Faculty Of Agricultural And Environmental Sciences,40.0054372,-83.0271165,1994.0,Upper middle income,22503
Faculty Of Agriculture Of Araripina,-7.6041789,-40.4982461,1986.0,Upper middle income,48932
Faculty Of Agudos,43.6609086,-79.3959518,2002.0,Upper middle income,22113
Faculty Of American Interaction,43.7840347,-79.2331848,1989.0,Upper middle income,29726
Faculty Of Americana,-22.7337238,-47.2970391,1999.0,Upper middle income,25071
Faculty Of Anicuns,-16.4642156,-49.9537547,1985.0,Upper middle income,51580
Faculty Of Applied And Social Sciences Of Petrolina,-9.3962261,-40.4789275,1976.0,Upper middle income,54024
Faculty Of Applied Sciences Of Limoeiro,-7.8746771,-35.4462941,1973.0,Upper middle income,55797
Faculty Of Applied Social Sciences Of Cascavel,-24.9872873,-53.4498747,1995.0,Upper middle income,27586
Faculty Of Applied Social Sciences Of Extrema,-22.8509613,-46.3058869,1999.0,Upper middle income,25071
Faculty Of Applied Social Sciences Of The South Of Minas Gerais,-19.870682,-43.9677359,1966.0,Upper middle income,35562
Faculty Of Applied Social Studies Of Viana,43.6609086,-79.3959518,1995.0,Upper middle income,27586
Faculty Of Apucarana,-23.5647724,-51.4396246,1999.0,Upper middle income,25071
Faculty Of Aracaju,-10.9451932,-37.0670197,2005.0,Upper middle income,22114
Faculty Of Ara��Atuba,-21.2238183,-50.4498763,2007.0,Upper middle income,18471
Faculty Of Are Bento,-23.2207477,-44.9069647,1908.0,Upper middle income,34134
Faculty Of Arts Of S��O Paulo,-23.5572565,-46.6446033,1998.0,Upper middle income,25076
Faculty Of Belford Purple,-22.755754,-43.3984291,1995.0,Upper middle income,27586
Faculty Of Bertioga,43.9454711,-78.8967854,2003.0,Upper middle income,22113
Faculty Of Black West Gold,43.6609086,-79.3959518,2001.0,Upper middle income,22113
Faculty Of Business Activities Of Teresina,-5.0451672,-42.7408197,2000.0,Upper middle income,25066
Faculty Of Castelo,-22.9046008,-43.1789638,1999.0,Upper middle income,25071
Faculty Of Castle - Multivix Castle,-20.6087274,-41.2127366,1999.0,Upper middle income,25071
Faculty Of Ceara,-3.7418917,-38.5390096,2002.0,Upper middle income,22113
Faculty Of Colider,-10.8087959,-55.4576589,2001.0,Upper middle income,22113
