University,latitude,longitude,Foundedin,incomegroup,private01,Number of Student
Federal University Of The Pampas,-31.3064276,-54.064346,2008.0,Upper middle income,0.0,31059.0
Federal University Of The State Of Rio De Janeiro,-22.9532459,-43.1736378,1969.0,Upper middle income,0.0,145579.0
Federal University Of The Triangle Miner Region,-3.7418917,-38.5390096,1953.0,Upper middle income,0.0,47768.0
Federal University Of The Valleys Of Jequitinhonha And Mucuri,-17.8841231,-41.4976278,1953.0,Upper middle income,0.0,59561.0
Federal University Of Tocantins,-10.1720679,-48.3508959,2000.0,Upper middle income,0.0,43999.0
Federal University Of Uberl��Ndia,-18.918473,-48.2581763,1969.0,Upper middle income,0.0,112660.0
Federal University Of Vi��Osa,-20.7610693,-42.8701632,1922.0,Upper middle income,0.0,92498.0
"Federal University, Oye-Ekiti",7.7795923,5.3154551,2011.0,Lower middle income,0.0,47672.0
"Federal Urdu University Of Arts, Science And Technology",24.9112095,67.0893753,2002.0,Lower middle income,0.0,42518.0
Federico Santa Mar��A Technical University,-33.0352386,-71.5967794,1926.0,High income,1.0,92956.0
Federico Villarreal National University,-12.0754274,-77.0919816,1963.0,Upper middle income,0.0,267525.0
Feevale University Center,-29.6628672,-51.118253,1970.0,Upper middle income,1.0,156517.0
Felipe R. Verallo Memorial Foundation- Bogo,11.0330924,124.0053049,1989.0,Lower middle income,1.0,31385.0
Felix O. Alfelor Sr. Foundation College,13.7729823,122.972521,1986.0,Lower middle income,1.0,31449.0
Fellowship Baptist College,9.9858299,122.8179259,1954.0,Lower middle income,1.0,40578.0
Ferdowsi University Of Mashhad,36.3099776,59.5296375,1949.0,Upper middle income,0.0,137147.0
Fergana Polytechnic Institute,40.4220059,71.7733192,1967.0,Lower middle income,0.0,38691.0
Fergana State University,40.3886377,71.7779842,1991.0,Lower middle income,0.0,33195.0
Ferhat Abbas University Of Setif 1,36.1961376,5.3597161,1978.0,Lower middle income,0.0,172051.0
Fernandez College Of Arts And Technology,14.9533376,120.8998843,1997.0,Lower middle income,1.0,30113.0
Fieo University Centre,-23.5409545,-46.7621394,1969.0,Upper middle income,1.0,35438.0
Filamer Christian College,11.5755147,122.7518421,1904.0,Lower middle income,1.0,44392.0
Finance University Under The Russian Federation Government,55.8009332,37.5266524,1918.0,Upper middle income,0.0,88503.0
Firat University.,38.6777569,39.2019556,1975.0,Upper middle income,0.0,104674.0
First City Providential College,14.8103107,121.0623228,1984.0,Lower middle income,1.0,33716.0
First Moscow State Medical University Named After I.M. Sechenov,55.7301734,37.5669033,1758.0,Upper middle income,0.0,40706.0
Fitchburg State College,42.5887548,-71.7897278,1894.0,High income,0.0,77408.0
Flight Dynamic School Of Aeronautics,10.291509,123.967314,1995.0,Lower middle income,1.0,33416.0
Flinders University,-35.000767,138.6111598,1966.0,High income,0.0,115580.0
Florida Agricultural And Mechanical University - Florida State University,30.4268551,-84.2851136,1887.0,High income,0.0,104162.0
Florida Atlantic University,26.3749876,-80.1010633,1961.0,High income,0.0,222302.0
Florida Gulf Coast University,26.4637116,-81.7752618,1991.0,High income,0.0,53445.0
Florida Institute Of Technology,28.0646888,-80.623022,1958.0,High income,1.0,49233.0
Florida International University,25.7561275,-80.3768786,1965.0,High income,0.0,320046.0
Florida Southern College,44.9899848,-93.2748965,1883.0,High income,1.0,36090.0
Florida State University,30.4418778,-84.2984889,1851.0,High income,0.0,366420.0
Fluminense Federal Institute Of Education Science And Technology,-22.814106,-41.9804348,1909.0,Upper middle income,0.0,40322.0
Fluminense Federal University,-22.9029686,-43.1166568,1960.0,Upper middle income,0.0,297112.0
Fluminense University Center,-21.7608806,-41.3213988,1961.0,Upper middle income,1.0,36317.0
Fom University Of Applied Sciences For Economics And Management,51.4567277,7.0232534,1993.0,High income,1.0,214327.0
Fontys University Of Applied Sciences,51.449879,5.493281,1986.0,High income,0.0,153525.0
Ford Academy Of The Arts,7.098881,125.61256,1980.0,Lower middle income,1.0,41142.0
Foreign Trade University,21.023033,105.805437,1960.0,Lower middle income,0.0,127825.0
Forests Of Aragon Patria Institute,19.4674595,-99.0519783,1983.0,Upper middle income,1.0,33275.0
Fort Hays State University,38.8714463,-99.3444887,1902.0,High income,0.0,108475.0
Fort Lewis College,37.275472,-107.8669339,1911.0,High income,0.0,50986.0
Fort Valley State University,32.5344247,-83.8960445,1895.0,High income,0.0,38451.0
Fortunato F. Halili National Agricultural School,14.8347962,120.9769442,1959.0,Lower middle income,0.0,59774.0
Foshan University,23.02469,113.097275,1995.0,Upper middle income,0.0,69530.0
Foundation University,9.3051096,123.2998547,1949.0,Lower middle income,1.0,50152.0
Framingham State College,42.2983843,-71.4366231,1839.0,High income,0.0,78359.0
Franciscan College Of The Immaculate Conception,10.6763176,124.8055887,1947.0,Lower middle income,1.0,40984.0
Franciscan University Centre,40.3772091,-80.6243999,1955.0,Upper middle income,1.0,37093.0
Francisco De Paula Santander University,7.8981152,-72.4887029,1962.0,Upper middle income,0.0,60996.0
Francisco Garc��A Salinas Autonomous University Of Zacatecas,22.7733437,-102.5752096,1832.0,Upper middle income,0.0,138085.0
Francisco Gavidia University,13.6984594,-89.2197238,1981.0,Lower middle income,1.0,68009.0
Francisco Jos�� De Caldas District University,4.6281256,-74.0655418,1948.0,Upper middle income,0.0,99171.0
Francisco Marroqu��N University,14.6068785,-90.5054194,1971.0,Upper middle income,1.0,48284.0
Francisco Mart��Nez Cabrera State Academy Of Arts,19.2520049,-99.1188771,1995.0,Upper middle income,0.0,32584.0
"Francisco Moraz��N National Pedagogical University, Tegucigalpa",14.076115,-87.187711,1956.0,Lower middle income,0.0,92975.0
Frankfurt School Of Finance And Management,50.1329541,8.6808203,1957.0,High income,1.0,102922.0
Frankfurt University Of Applied Sciences,50.1304923,8.6925102,1971.0,High income,0.0,87838.0
Fray Mat��As Antonio De C��Rdoba And Federal Ord����Ez Experimental School Of Primary Education Teacher Training,16.706953,-92.622879,1977.0,Upper middle income,0.0,37094.0
Free University Of Berlin,52.4543245,13.2934768,1948.0,High income,0.0,479785.0
Free University Of Brussels,50.8715596,4.4019113,1834.0,High income,1.0,102287.0
Freiberg University Of Mining And Technology,50.9181269,13.3408775,1765.0,High income,0.0,47273.0
Fresenius University Of Applied Sciences,50.2213598,8.2668539,1848.0,High income,1.0,83784.0
Friedrich Schiller University Jena,50.9291698,11.585814,1548.0,High income,0.0,146005.0
Friedrich-Alexander University Of Erlangen-Nuremberg,49.5978804,11.0045507,1743.0,High income,0.0,270686.0
From The College Of Saint Benilde,14.5636358,120.9950657,1988.0,Lower middle income,1.0,117967.0
Fronteriza Teacher Training School Of Tijuana,32.481592,-116.928456,1994.0,Upper middle income,0.0,32596.0
Fronteriza Urban Federal Benem��Rita Teacher Training School,32.6301259,-115.4424786,1947.0,Upper middle income,0.0,40513.0
Frostburg State University,39.6501666,-78.9341855,1898.0,High income,0.0,55982.0
Fujian Agriculture And Forestry University,26.084946,119.239701,1936.0,Upper middle income,0.0,97885.0
Fujian Jiangxia University,26.064998,119.196444,2010.0,Upper middle income,0.0,37952.0
Fujian Medical University,26.067459,119.2995,1937.0,Upper middle income,0.0,54962.0
Fujian Normal University,26.056595,119.295118,1907.0,Upper middle income,0.0,262386.0
Fujian University Of Technology,26.085573,119.372442,2002.0,Upper middle income,0.0,64297.0
Fujian University Of Traditional Chinese Medicine,26.073353,119.1808068,1958.0,Upper middle income,0.0,43858.0
Fukuoka Institute Of Technology,33.6960213,130.4408748,1963.0,High income,1.0,36633.0
Fukuoka University,33.5464628,130.3656384,1934.0,High income,1.0,235473.0
Fukushima University,37.6829583,140.4556128,1949.0,High income,0.0,45567.0
Fukuyama University,34.4576703,133.2307425,1975.0,High income,1.0,48177.0
Fulda University Of Applied Sciences,50.5650941,9.6867957,1974.0,High income,0.0,39492.0
Fumec University,-19.9437805,-43.9254096,1965.0,Upper middle income,1.0,36772.0
Fundamental Baptist College For Asians,15.4976308,120.600961,1983.0,Lower middle income,1.0,33745.0
Furtwangen University,48.0512939,8.2077881,1971.0,High income,0.0,35999.0
Fuyang Normal University,32.893401,115.786321,1956.0,Upper middle income,0.0,57185.0
Fuzeko Polytechnic College,16.52267,121.185036,1982.0,Lower middle income,1.0,33775.0
Fuzhou University,26.0818505,119.2865017,1958.0,Upper middle income,0.0,129763.0
Fuzhou University Of International Studies And Trade,26.0818505,119.2865017,2004.0,Upper middle income,1.0,44760.0
Fuzhou University Zhicheng College,26.0761956,119.2739055,2003.0,Upper middle income,1.0,33155.0
Gabriel M��Ndez Plancarte Institute Of Theology And Philosophy,19.9876838,-102.2928937,2000.0,Upper middle income,1.0,30039.0
Gabriel Ren�� Moreno Autonomous University,-17.7756216,-63.1959216,1880.0,Lower middle income,0.0,332495.0
Gabriele D'Annunzio University,42.3681603,14.1501097,1961.0,High income,0.0,200583.0
Gachon University,37.4507128,127.1288495,1997.0,High income,1.0,76996.0
Gajah Mada University,-7.7713847,110.3774998,1949.0,Upper middle income,0.0,408268.0
Gajayana University Malang,-7.9399488,112.6023915,1980.0,Upper middle income,1.0,41369.0
Gakushuin University,35.71868,139.7093053,1877.0,High income,1.0,108931.0
Galileo University,14.609474,-90.5056645,1977.0,Upper middle income,1.0,106587.0
Galway-Mayo Institute Of Technology,53.2775483,-9.0106931,1972.0,High income,0.0,61030.0
Gamal Abdel Nasser University Of Conakry,9.5454978,-13.6776189,1962.0,Low income,0.0,32814.0
Gammon Faculties,-21.241214,-44.9981623,1974.0,Upper middle income,1.0,34418.0
Gandhi Institute Of Technology And Management (Deemed To Be University),17.7816493,83.37746,1980.0,Lower middle income,1.0,87863.0
Gandja State University,40.6780624,46.3601533,1938.0,Upper middle income,0.0,76026.0
Gani L. Abpi Colleges,7.0269144,124.4985596,1960.0,Lower middle income,1.0,40236.0
Gannan Medical University,25.771833,114.907196,1941.0,Upper middle income,0.0,47067.0
Gannan Normal University,25.795524,114.887227,1958.0,Upper middle income,0.0,73102.0
Gannon University,42.1282555,-80.0867478,1925.0,High income,1.0,53612.0
Ganpat University,23.5292875,72.4577363,2005.0,Lower middle income,1.0,31073.0
Gansu Agricultural University,36.090703,103.700763,1946.0,Upper middle income,0.0,76929.0
Gansu Institute Of Political Science And Law,36.102068,103.729927,1956.0,Upper middle income,0.0,45470.0
Gansu Normal University For Nationalities,34.959925,102.896529,1984.0,Upper middle income,0.0,35563.0
Gansu University Of Traditional Chinese Medicine,36.0433,103.869335,1978.0,Upper middle income,0.0,48370.0
Garcia College Of Technology,11.6973423,122.3666313,1968.0,Lower middle income,1.0,38580.0
Gather Soetomo University,-7.2983906,112.7654123,1981.0,Upper middle income,1.0,106298.0
Gauhati University,26.1540317,91.6629743,1948.0,Lower middle income,0.0,908155.0
Gauss Jordan Specialized Institute In Computer Science And Administration,19.4678442,-99.1268209,1994.0,Upper middle income,1.0,31287.0
Gazi University,39.9396355,32.8223059,1982.0,Upper middle income,0.0,73115.0
Gaziantep University,37.035008,37.313525,1973.0,Upper middle income,0.0,155014.0
Gdansk University Of Technology,54.3716751,18.6163277,1904.0,High income,0.0,167117.0
Gda��Sk University Of Technology,54.3716751,18.6163277,2002.0,High income,1.0,61380.0
General Achmad Yani University,-6.8875181,107.5268526,1990.0,Upper middle income,1.0,72474.0
General De Jesus College,15.3078211,120.904427,1946.0,Lower middle income,1.0,41041.0
General Ignacio M. Beteta Teacher Training School In Physical Education,19.2797775,-99.6989974,1988.0,Upper middle income,0.0,34552.0
General Lansana Conte University,9.680726,-13.5819739,2005.0,Low income,1.0,67317.0
General Lansana Cont�� University Of Sonfonia,9.680726,-13.5819739,2005.0,Low income,0.0,64761.0
General Soedirman University,-7.4040925,109.246316,1963.0,Upper middle income,0.0,110380.0
General Tadeusz Ko��Ciuszko Military Academy Of Land Forces,51.1437796,17.0533053,1765.0,High income,0.0,35020.0
Georg August University G��Ttingen,51.5408116,9.9374005,1737.0,High income,0.0,287498.0
Georg-Simon-Ohm University Of Applied Sciences Nuremberg,49.4527724,11.0946779,1823.0,High income,0.0,73906.0
George Brown College,43.6760427,-79.4107284,1951.0,High income,0.0,471811.0
Georgetown University,38.9076089,-77.0722585,1789.0,High income,1.0,136831.0
Georgia College And State University,33.0804485,-83.2319298,1889.0,High income,0.0,67234.0
Georgia Institute Of Technology,33.7756178,-84.396285,1885.0,High income,0.0,176125.0
Georgia Southwestern State University,32.0582937,-84.2197137,1906.0,High income,0.0,38052.0
Georgia State University,33.753068,-84.3852819,1913.0,High income,0.0,323542.0
Georgian College,44.4117128,-79.6667919,1967.0,High income,0.0,77900.0
Georgian Technical University,41.7171696,44.7781599,1922.0,Upper middle income,0.0,248580.0
Geraldo Di Biase University Center,-22.5085669,-44.0899032,1967.0,Upper middle income,1.0,35521.0
German Sport University Cologne,50.9351287,6.870091,1920.0,High income,0.0,55563.0
Gestalt Institute Of Guadalajara,20.6682667,-103.3675727,1992.0,Upper middle income,1.0,31319.0
Gestalt University Of Design,19.549986,-96.9305418,1987.0,Upper middle income,1.0,32346.0
Getulio Vargas Foundation,-22.9416247,-43.1799778,1944.0,Upper middle income,1.0,38123.0
Ghent University,51.0246858,3.7253383,1817.0,High income,0.0,257094.0
Gift University,32.2048925,74.1925375,2002.0,Lower middle income,1.0,101977.0
Gifu University,35.4651392,136.7371913,1949.0,High income,0.0,72315.0
Gingoog Christian College,8.8227318,125.0998018,1946.0,Lower middle income,1.0,41041.0
Giresun University,40.9155194,38.3219755,2006.0,Upper middle income,0.0,38163.0
Girne American University,35.333249,33.27529,1985.0,Upper middle income,1.0,34915.0
Glasgow Caledonian University,55.8668183,-4.2499602,1875.0,High income,0.0,127936.0
Glazov State Pedagogical Institute,58.1382303,52.6745026,1915.0,Upper middle income,0.0,43426.0
Gloria Campobello Dance School,19.4306743,-99.205987,1964.0,Upper middle income,1.0,35668.0
Glyndwr University,53.0526226,-3.0061652,1927.0,High income,0.0,34331.0
Goa University,15.4587767,73.8342248,1985.0,Lower middle income,0.0,31572.0
Goce Delchev University Stip,41.7367727,22.190322,2007.0,Upper middle income,0.0,37526.0
Goethe University Frankfurt Am Main,50.1279436,8.6669779,1914.0,High income,0.0,377028.0
Golden Gate Colleges,13.7570253,121.0606075,1946.0,Lower middle income,1.0,41041.0
Golden Gate University,37.7893349,-122.3988242,1901.0,High income,1.0,57967.0
Golden Heritage Polytechnic College,8.4783892,124.638723,1987.0,Lower middle income,1.0,31429.0
Goldsmiths - University Of London,51.4742772,-0.035417,1891.0,High income,0.0,68286.0
Gomal University,31.8188349,70.8971301,1974.0,Lower middle income,0.0,36682.0
Gomel State University Named After Francisk Skorina,52.4420079,31.001369,1930.0,Upper middle income,0.0,81372.0
Good Samaritan Colleges,15.4915065,120.9739271,1973.0,Lower middle income,1.0,37247.0
Gordon College,42.5907969,-70.8237211,1972.0,High income,0.0,30118.0
Gori State Teaching University,41.9823554,44.113664,1935.0,Upper middle income,0.0,43980.0
Goris State University,39.5175263,46.3452745,1967.0,Upper middle income,0.0,63247.0
Gorno-Altaisk State University,51.9601618,85.9688746,1949.0,Upper middle income,0.0,38858.0
Gorontalo University,0.6270779,122.9840045,1955.0,Upper middle income,1.0,109169.0
Gorsky State University Of Agriculture,47.8911046,50.3294072,1918.0,Upper middle income,0.0,59436.0
Gottfried Wilhelm Leibniz University Of Hanover,52.3829641,9.7196989,1831.0,High income,0.0,294654.0
Gov. Alfonso D. Tan College,8.0651147,123.7573385,1984.0,Lower middle income,0.0,53474.0
"Government College University, Faisalabad",31.4160721,73.0699918,1897.0,Lower middle income,0.0,65001.0
"Government College University, Lahore",31.573152,74.3078585,1864.0,Lower middle income,0.0,58120.0
Governors State University,41.4483404,-87.716144,1969.0,High income,0.0,45703.0
Govind Ballabh Pant University Of Agriculture And Technology,29.0228626,79.4879412,1960.0,Lower middle income,0.0,35783.0
Grace Christian College,14.6503491,121.0053073,1950.0,Lower middle income,1.0,40809.0
Grace Mission College,13.0622,121.331001,1976.0,Lower middle income,1.0,35638.0
Grambling State University,32.5206702,-92.7189283,1901.0,High income,0.0,71102.0
Grand Canyon University,33.5100339,-112.1288588,1949.0,High income,1.0,134884.0
Grant Macewan University,53.5470544,-113.506372,1971.0,High income,0.0,86026.0
Graz University Of Technology,47.0694191,15.4503767,1811.0,High income,0.0,117568.0
Great Plebian College,16.1587599,119.9801177,1948.0,Lower middle income,1.0,40924.0
Great Zimbabwe University,-20.1050134,30.8643919,1999.0,Lower middle income,0.0,67152.0
Greater University,-33.4212706,-70.6049952,1988.0,High income,1.0,83450.0
Greenville College,14.608932,121.097598,1987.0,Lower middle income,1.0,30724.0
Grenoble Management School,45.1902281,5.7130923,1984.0,High income,1.0,35563.0
Griffith University,-27.9617629,153.3805981,1971.0,High income,0.0,212133.0
Grigore T. Popa University Of Medicine And Pharmacy Of Iasi,47.1682226,27.5845255,1879.0,High income,0.0,59409.0
Grodno State Agrarian University,53.696156,23.848329,1951.0,Upper middle income,0.0,48483.0
Grozny State Petroleum Technological University Named After Academician M.D. Millionshchikov,44.9365258,34.1341319,1920.0,Upper middle income,0.0,65148.0
Guadalajara College Of Public Accountants,20.6818743,-103.4293002,1959.0,Upper middle income,0.0,37966.0
Guagua National Colleges,14.966247,120.6350055,1918.0,Lower middle income,1.0,42826.0
Guangdong Baiyun University,23.272722,113.209421,1989.0,Upper middle income,1.0,62252.0
Guangdong Medical College,23.132859,113.255442,1958.0,Upper middle income,0.0,58928.0
Guangdong Ocean University,21.1534008,110.2977249,1997.0,Upper middle income,0.0,67738.0
Guangdong Peizheng College,23.4099671,113.0927302,1993.0,Upper middle income,1.0,47474.0
Guangdong Pharmaceutical University,23.054777,113.405371,1958.0,Upper middle income,0.0,106193.0
Guangdong Polytechnic Normal University,23.131675,113.371892,1957.0,Upper middle income,0.0,57128.0
Guangdong University Of Education,23.13701,113.344724,1955.0,Upper middle income,0.0,44091.0
Guangdong University Of Finance,23.200123,113.379778,1950.0,Upper middle income,0.0,71017.0
Guangdong University Of Finance And Economics,23.089479,113.356876,1983.0,Upper middle income,0.0,46562.0
Guangdong University Of Foreign Studies,23.199791,113.289552,1964.0,Upper middle income,0.0,106985.0
Guangdong University Of Petrochemical Technology,21.676286,110.923042,1954.0,Upper middle income,0.0,77164.0
Guangdong University Of Technology,23.033374,113.39728,1995.0,Upper middle income,0.0,136078.0
Guangxi Arts Institute,22.855997,108.224396,1938.0,Upper middle income,0.0,46395.0
Guangxi Medical University,22.797255,108.350438,1934.0,Upper middle income,0.0,70352.0
Guangxi Normal University For Nationalities,22.3829843,107.3938723,1949.0,Upper middle income,0.0,51442.0
Guangxi Science And Technology Normal University,43.7830333,-79.1873806,1958.0,Upper middle income,0.0,54824.0
Guangxi University,22.820876,108.33777,1928.0,Upper middle income,0.0,38977.0
Guangxi University For Nationalities,22.841686,108.235758,1952.0,Upper middle income,0.0,64060.0
Guangxi University Of Chinese Medicine,22.842074,108.317775,1956.0,Upper middle income,0.0,67929.0
Guangxi University Of Finance And Economics,22.836597,108.299166,2004.0,Upper middle income,0.0,39006.0
Guangzhou College Of Commerce,23.131662,113.436058,1999.0,Upper middle income,1.0,52808.0
Guangzhou College Of South China University Of Technology,23.34675,113.28583,2006.0,Upper middle income,1.0,53165.0
Guangzhou Maritime University,23.0884783,113.395425,1964.0,Upper middle income,0.0,49954.0
Guangzhou Medical University,23.132859,113.255442,1958.0,Upper middle income,0.0,40752.0
Guangzhou Sport University,23.143307,113.317198,1956.0,Upper middle income,0.0,48847.0
Guangzhou University,23.039404,113.380871,1983.0,Upper middle income,0.0,138575.0
Guangzhou University Of Chinese Medicine,23.060118,113.402176,1956.0,Upper middle income,0.0,50489.0
Guarulhos University,-23.4700904,-46.5310918,1970.0,Upper middle income,1.0,121526.0
Guglielmo Marconi University,41.9073207,12.464651,2004.0,High income,1.0,60423.0
Guido Carli Free International University Of Social Studies,41.9244895,12.4939388,1945.0,High income,1.0,50823.0
Guilin Medical University,25.219006,110.16711,1935.0,Upper middle income,0.0,58408.0
Guilin Tourism University,25.1227496,110.2951754,1985.0,Upper middle income,0.0,40100.0
Guilin University Of Aerospace Technology,25.28229,110.371801,1979.0,Upper middle income,0.0,49976.0
Guilin University Of Electronic Technology,25.28164,110.337304,1960.0,Upper middle income,0.0,56710.0
Guilin University Of Technology,25.280923,110.316379,1956.0,Upper middle income,0.0,135241.0
Guillermo Subercaseaux Institute Of Banking Studies,-33.4414893,-70.6573987,1929.0,High income,1.0,35683.0
Guiyang University,26.557498,106.777845,2004.0,Upper middle income,0.0,35222.0
Guiyang University Of Traditional Chinese Medicine,26.574704,106.723371,1965.0,Upper middle income,0.0,52265.0
Guizhou Education University,26.640995,106.799378,1978.0,Upper middle income,0.0,52026.0
Guizhou Institute Of Technology,26.56029,106.65609,2013.0,Upper middle income,0.0,48017.0
Guizhou Medical University,26.375359,106.638442,1938.0,Upper middle income,0.0,70170.0
Guizhou Minzu University,26.463891,106.669841,1951.0,Upper middle income,0.0,77247.0
Guizhou Normal University,26.5869154,106.7227525,1941.0,Upper middle income,0.0,63522.0
Guizhou University Of Engineering Science,27.29571,105.31238,1938.0,Upper middle income,0.0,42389.0
Guizhou University Of Finance And Economics,26.37902,106.638986,1958.0,Upper middle income,0.0,78960.0
Gujarat Ayurved University,22.4750606,70.0647233,1965.0,Lower middle income,0.0,140034.0
Gujarat University,23.0363768,72.5466727,1949.0,Lower middle income,0.0,1437335.0
Gulbarga University,17.3103594,76.8729891,1980.0,Lower middle income,0.0,176669.0
Gulf University,33.5112984,36.2907898,2005.0,Low income,1.0,50679.0
Gulistan State University,40.5044337,68.7842438,1966.0,Lower middle income,0.0,33312.0
Gumushane University,40.4363788,39.5144286,1992.0,Upper middle income,0.0,55344.0
Gunadarma University,-6.1371482,106.7354923,1981.0,Upper middle income,1.0,260450.0
Gunma University,36.4307559,139.0450508,1949.0,High income,0.0,67329.0
Guru Ghasidas Vishwavidyalaya,22.1293214,82.1360026,1983.0,Lower middle income,0.0,251582.0
Guru Gobind Singh Indraprastha University,28.5949739,77.0192989,1998.0,Lower middle income,0.0,159024.0
Gustave Eiffel University,48.839255,2.5899126,1991.0,High income,0.0,66252.0
Gustave Eiffel University - Esiee Paris,48.8398086,2.5836143,1904.0,High income,0.0,54088.0
Gustave Eiffel University - School Of Architecture Of The City And Territories Paris-Est,48.8392495,2.5870067,1998.0,High income,0.0,62505.0
Guzman College Of Science And Technology,14.6000036,120.9850408,1947.0,Lower middle income,1.0,65804.0
Gwangju University,35.1063302,126.8951539,1981.0,High income,1.0,84617.0
Gyeongnam National University Of Science And Technology,35.1807036,128.0940393,1910.0,High income,0.0,38887.0
Gyeongsang National University,35.1505487,128.0986,1948.0,High income,0.0,141442.0
Habarovsk State Academy Of Economics And Law,48.5272008,135.0507537,1970.0,Upper middle income,0.0,65769.0
Habarovsk State Institute Of Arts And Culture,48.4463831,135.1120178,1968.0,Upper middle income,0.0,39812.0
Hacettepe University,39.9278773,32.8548537,1954.0,Upper middle income,0.0,276244.0
Hadhramout University Of Science And Technology,14.6080053,49.2345857,1996.0,Low income,0.0,30022.0
Hadji Buto School Of Arts And Trades,6.0483696,121.0013151,1928.0,Lower middle income,0.0,61713.0
Hai Phong University Of Medicine And Pharmacy,20.8423083,106.6978569,1979.0,Lower middle income,0.0,38220.0
Haikou University Of Economics,19.965377,110.489567,1974.0,Upper middle income,1.0,77319.0
Hainan Medical University,19.980773,110.332758,1951.0,Upper middle income,0.0,57472.0
Hainan Normal University,19.994851,110.344114,1949.0,Upper middle income,0.0,57587.0
Hainan Tropical Oean University,18.308063,109.535136,1954.0,Upper middle income,0.0,66877.0
Hainan University,20.06199,110.32874,1958.0,Upper middle income,0.0,121271.0
Hakkari University,37.5611328,43.7232059,2008.0,Upper middle income,0.0,38187.0
Hallym University,37.8862979,127.7381568,1982.0,High income,1.0,50332.0
Hambuk University,41.7280433,129.6904501,1970.0,Low income,0.0,97789.0
Hamburg Distance Teaching University Of Applied Sciences,53.5824747,10.0502755,1997.0,High income,1.0,43165.0
Hamburg University Of Applied Sciences,53.5560772,10.0224979,1970.0,High income,0.0,127562.0
Hamburg University Of Technology,53.4611555,9.9691408,1978.0,High income,0.0,31824.0
Han University Of Applied Sciences,51.9888115,5.9496232,1996.0,High income,0.0,121818.0
Hanbat National University,36.35078,127.3011981,1927.0,High income,0.0,79021.0
Handan University.,36.575765,114.509424,1945.0,Upper middle income,0.0,57817.0
Hangzhou Dianzi University,30.286825,120.140528,1956.0,Upper middle income,0.0,96861.0
Hangzhou Normal University,30.289532,120.009886,1908.0,Upper middle income,0.0,132637.0
Hankou University,30.416205,114.320967,2000.0,Upper middle income,1.0,61167.0
Hankuk University Of Foreign Studies,37.597108,127.0588498,1954.0,High income,1.0,145497.0
Hankyong National University,37.0116265,127.2642483,1939.0,High income,0.0,43533.0
Hannam University,36.3544548,127.4211446,1956.0,High income,1.0,115829.0
Hannan University,34.5914401,135.5348878,1965.0,High income,1.0,35212.0
Hanoi Law University.,21.0214657,105.8096749,1979.0,Lower middle income,0.0,38220.0
Hanoi Medical University,21.0040586,105.8304073,1902.0,Lower middle income,0.0,33885.0
Hanoi Open University,20.9889776,105.7946782,1990.0,Lower middle income,0.0,140332.0
Hanoi Pedagogical University 2,21.2810566,105.7258166,1967.0,Lower middle income,0.0,41421.0
Hanoi University Of Industrial Fine Arts,21.0235735,105.8236717,1965.0,Lower middle income,0.0,30715.0
Hanoi University Of Industry,21.053731,105.7351068,1898.0,Lower middle income,0.0,172694.0
Hanoi University Of Mining And Geology,21.0719648,105.7739133,1966.0,Lower middle income,0.0,67961.0
Hanoi University Of Physical Education And Sports,21.1246714,105.953882,1946.0,Lower middle income,0.0,43236.0
Hanoi University Of Public Health,21.0821842,105.7799318,1948.0,Lower middle income,0.0,43128.0
Hanoi University Of Science And Technology,21.0070253,105.843136,1956.0,Lower middle income,0.0,175617.0
Hanoi University.,20.9889776,105.7946782,1959.0,Lower middle income,0.0,436507.0
Hanover Medical School,52.3815894,9.8096658,1963.0,High income,0.0,30179.0
"Hanover University Of Music, Drama And Media",52.3776584,9.7541332,1950.0,High income,0.0,44257.0
Hanseo University,36.6907235,126.5846966,1992.0,High income,1.0,37086.0
Hanshan Normal University,23.657869,116.663859,1903.0,Upper middle income,0.0,62356.0
Hanshin University,37.1933281,127.0225987,1940.0,High income,1.0,44013.0
Hansung University,37.5822608,127.0094254,1945.0,High income,1.0,93562.0
Hanyang University.,37.5571759,127.0454092,1939.0,High income,1.0,285046.0
Hanze University Of Applied Sciences Groningen,53.2401972,6.5316298,1798.0,High income,0.0,188652.0
Haramaya University,9.4232483,42.0372641,1952.0,Low income,0.0,84650.0
Harbin Cambridge University,45.654894,126.6574071,1995.0,Upper middle income,1.0,34247.0
Harbin Engineering University,45.773237,126.6641261,1953.0,Upper middle income,0.0,155284.0
Harbin Institute Of Finance,45.7160787,126.6409384,1950.0,Upper middle income,0.0,36743.0
Harbin Institute Of Technology,45.7470436,126.6334306,1920.0,Upper middle income,0.0,40686.0
Harbin Medical University,45.7003851,126.6202132,1926.0,Upper middle income,0.0,66113.0
Harbin Normal University,45.8610042,126.5549154,1951.0,Upper middle income,0.0,187810.0
Harbin University,45.87425,126.52121,1949.0,Upper middle income,0.0,41789.0
Harbin University Of Commerce,45.7372232,126.6056072,1952.0,Upper middle income,0.0,95538.0
Harding University,35.245152,-91.7235465,1924.0,High income,1.0,46624.0
Harishi Markandeswar University,30.2512693,77.0478949,1993.0,Lower middle income,1.0,60846.0
Harran University,37.1753922,38.8003731,1992.0,Upper middle income,0.0,35071.0
Harris Memorial College,14.584025,121.151676,1903.0,Lower middle income,1.0,43638.0
Harvard University,42.3770029,-71.1166601,1636.0,High income,1.0,248484.0
Hasanuddin University,-5.1324973,119.4885402,1948.0,Upper middle income,0.0,198804.0
